category,tickets
Call number error,157
Call number missing,10
Call number question,267
Catalog scans (BPL only),58
Cataloging Request for a Free Internet Resource (BPL only),1
Duplicate records,7
"Electronic resource (Overdrive, Cloud Library, Naxos, etc.)",17
Item attached to wrong bib record,78
Item not linked,184
Item record problem,40
Location code error,3
"Materials not processed with labels, etc.",1
Online Catalog,7
Other,77
Sierra bib record error,127
Volume record needed,1
