system,year,tickets
NYPL BL,2013,566
NYPL BL,2014,892
NYPL BL,2015,948
NYPL BL,2016,1030
NYPL BL,2017,892
NYPL BL,2018,934
NYPL BL,2019,646
NYPL BL,2020,443
NYPL BL,2021,1088
NYPL BL,2022,1082
NYPL BL,2023,674
