number,time2resolve
BKOP0114647,2 days 18:11:01
BKOP0114665,2 days 18:06:01
BKOP0114673,2 days 02:36:10
BKOP0114701,2 days 02:07:38
BKOP0114702,2 days 02:12:50
BKOP0114703,2 days 19:56:31
BKOP0114711,2 days 19:43:48
BKOP0114778,0 days 22:39:03
BKOP0114784,1 days 18:25:31
BKOP0114786,1 days 17:55:15
BKOP0114791,0 days 19:19:57
BKOP0114798,0 days 00:38:40
BKOP0114827,2 days 03:20:06
BKOP0114830,0 days 01:30:45
BKOP0114835,2 days 03:12:33
BKOP0114842,0 days 23:37:06
BKOP0114869,0 days 18:33:09
BKOP0114871,0 days 21:24:42
BKOP0114876,5 days 23:53:05
BKOP0114885,6 days 18:01:50
BKOP0114890,6 days 17:05:45
BKOP0114895,0 days 19:41:25
BKOP0114914,26 days 22:12:42
BKOP0114915,3 days 01:27:49
BKOP0114918,2 days 20:14:39
BKOP0114925,3 days 00:57:35
BKOP0114927,3 days 00:58:58
BKOP0114928,30 days 02:13:15
BKOP0114934,0 days 16:20:13
BKOP0114954,0 days 15:37:21
BKOP0114955,0 days 15:42:48
BKOP0114956,0 days 15:02:34
BKOP0114957,0 days 15:25:02
BKOP0114958,0 days 14:50:34
BKOP0114959,6 days 01:31:07
BKOP0114960,0 days 05:45:20
BKOP0114981,9 days 00:03:17
BKOP0114995,2 days 03:21:16
BKOP0115014,0 days 16:30:19
BKOP0115016,0 days 00:15:40
BKOP0115034,0 days 17:34:45
BKOP0115067,0 days 00:09:56
BKOP0115087,0 days 20:05:53
BKOP0115104,0 days 23:34:38
BKOP0115117,4 days 21:43:15
BKOP0115120,0 days 06:08:46
BKOP0115130,5 days 00:30:41
BKOP0115161,0 days 00:52:13
BKOP0115178,0 days 00:21:05
BKOP0115180,2 days 21:11:59
BKOP0115206,2 days 22:19:14
BKOP0115221,2 days 20:34:33
BKOP0115222,2 days 20:40:10
BKOP0115223,2 days 20:27:00
BKOP0115224,4 days 00:18:13
BKOP0115225,9 days 22:58:21
BKOP0115226,2 days 17:29:08
BKOP0115241,2 days 19:23:40
BKOP0115242,2 days 19:47:08
BKOP0115243,2 days 19:00:35
BKOP0115255,1 days 21:43:03
BKOP0115273,53 days 03:29:25
BKOP0115286,2 days 21:49:53
BKOP0115295,0 days 21:18:45
BKOP0115305,0 days 15:28:21
BKOP0115309,2 days 02:46:46
BKOP0115317,0 days 00:49:13
BKOP0115319,1 days 02:04:45
BKOP0115360,1 days 17:45:04
BKOP0115363,0 days 17:24:04
BKOP0115373,0 days 19:51:06
BKOP0115376,0 days 19:55:48
BKOP0115391,40 days 03:47:32
BKOP0115419,1 days 20:03:26
BKOP0115431,0 days 00:49:35
BKOP0115434,1 days 21:53:41
BKOP0115437,0 days 22:36:50
BKOP0115445,2 days 00:05:45
BKOP0115450,0 days 17:37:44
BKOP0115451,0 days 17:43:57
BKOP0115455,68 days 16:23:00
BKOP0115456,0 days 17:07:28
BKOP0115457,0 days 17:30:49
BKOP0115475,1 days 15:12:43
BKOP0115481,1 days 05:46:20
BKOP0115487,0 days 23:43:01
BKOP0115490,0 days 03:09:02
BKOP0115494,0 days 00:23:18
BKOP0115516,0 days 19:55:32
BKOP0115523,0 days 19:29:44
BKOP0115524,0 days 19:18:04
BKOP0115528,0 days 02:07:08
