number,time2resolve
BKOP0120044,2 days 23:30:45
BKOP0120060,0 days 02:36:23
BKOP0120067,0 days 00:12:44
BKOP0120085,2 days 03:11:41
BKOP0120086,0 days 16:30:38
BKOP0120092,0 days 02:57:11
BKOP0120097,1 days 03:19:07
BKOP0120098,0 days 00:08:36
BKOP0120107,0 days 18:38:17
BKOP0120111,12 days 00:15:48
BKOP0120112,4 days 16:43:56
BKOP0120138,0 days 23:48:16
BKOP0120141,0 days 00:53:23
BKOP0120182,32 days 23:39:32
BKOP0120183,10 days 23:12:32
BKOP0120188,3 days 03:13:48
BKOP0120203,2 days 20:20:43
BKOP0120207,0 days 00:15:32
BKOP0120208,0 days 00:19:05
BKOP0120209,0 days 00:20:49
BKOP0120210,0 days 00:25:54
BKOP0120289,15 days 02:04:53
BKOP0120290,0 days 01:34:13
BKOP0120307,0 days 00:56:46
BKOP0120308,0 days 18:56:55
BKOP0120310,0 days 00:58:57
BKOP0120311,0 days 01:03:20
BKOP0120312,0 days 02:50:07
BKOP0120313,0 days 00:57:07
BKOP0120315,1 days 21:44:50
BKOP0120325,0 days 23:09:05
BKOP0120326,0 days 23:02:13
BKOP0120332,0 days 17:23:38
BKOP0120334,0 days 22:38:08
BKOP0120350,0 days 00:43:55
BKOP0120351,0 days 00:53:23
BKOP0120352,0 days 00:56:59
BKOP0120355,0 days 01:01:53
BKOP0120367,0 days 00:03:18
BKOP0120368,0 days 00:29:07
BKOP0120369,0 days 00:33:03
BKOP0120370,0 days 00:04:34
BKOP0120374,0 days 00:05:20
BKOP0120384,0 days 00:12:47
BKOP0120385,0 days 00:15:48
BKOP0120392,0 days 00:11:20
BKOP0120410,0 days 18:09:39
BKOP0120412,7 days 01:02:25
BKOP0120427,0 days 01:18:55
BKOP0120430,0 days 04:41:27
BKOP0120445,1 days 02:07:05
BKOP0120460,27 days 19:51:40
BKOP0120465,0 days 23:34:18
BKOP0120487,0 days 16:05:14
BKOP0120488,0 days 15:35:50
BKOP0120505,0 days 02:59:02
BKOP0120509,25 days 23:20:54
BKOP0120513,3 days 18:12:45
BKOP0120517,0 days 03:12:16
BKOP0120530,0 days 01:05:40
BKOP0120538,0 days 15:56:27
BKOP0120562,0 days 17:15:58
BKOP0120570,2 days 23:31:57
BKOP0120571,0 days 01:07:59
BKOP0120576,2 days 23:10:57
BKOP0120578,0 days 00:11:34
BKOP0120611,2 days 22:14:27
BKOP0120613,2 days 20:10:05
BKOP0120621,5 days 17:12:33
BKOP0120634,2 days 22:09:18
BKOP0120652,2 days 22:10:32
BKOP0120653,2 days 22:14:17
BKOP0120659,1 days 18:21:32
BKOP0120663,1 days 22:25:03
BKOP0120664,1 days 22:34:41
BKOP0120665,1 days 22:27:10
BKOP0120676,0 days 03:31:51
BKOP0120684,1 days 00:51:31
BKOP0120687,0 days 00:52:48
BKOP0120693,3 days 23:18:31
BKOP0120694,0 days 00:25:02
BKOP0120695,0 days 02:20:04
BKOP0120718,0 days 21:06:38
BKOP0120778,0 days 18:06:33
BKOP0120779,0 days 18:27:53
BKOP0120781,0 days 18:41:42
BKOP0120793,0 days 15:42:02
BKOP0120809,2 days 02:40:46
BKOP0120823,1 days 07:28:25
BKOP0120825,1 days 02:41:57
BKOP0120826,1 days 02:34:07
BKOP0120836,1 days 22:44:33
BKOP0120860,0 days 17:00:15
BKOP0120866,0 days 14:15:01
BKOP0120890,0 days 21:00:28
BKOP0120891,0 days 20:19:57
BKOP0120931,4 days 21:18:28
BKOP0120945,0 days 22:02:22
BKOP0120951,0 days 02:30:43
BKOP0120968,0 days 18:45:43
BKOP0120971,0 days 19:09:35
BKOP0120976,0 days 21:37:02
BKOP0120978,0 days 19:22:25
BKOP0120982,0 days 18:16:38
BKOP0120989,0 days 22:16:44
BKOP0120996,0 days 18:37:05
BKOP0120998,0 days 17:31:13
BKOP0121032,0 days 03:37:35
BKOP0121036,3 days 20:23:06
BKOP0121055,0 days 00:30:56
BKOP0121063,3 days 20:57:45
BKOP0121067,2 days 21:11:52
BKOP0121071,2 days 20:51:56
BKOP0121094,1 days 23:21:10
BKOP0121101,2 days 22:42:03
BKOP0121113,2 days 00:37:58
BKOP0121121,1 days 23:44:59
BKOP0121123,1 days 23:37:25
BKOP0121124,1 days 23:32:10
BKOP0121125,1 days 23:32:29
BKOP0121126,1 days 22:15:30
BKOP0121127,1 days 22:09:31
BKOP0121129,1 days 21:33:19
BKOP0121140,1 days 21:10:18
BKOP0121142,1 days 21:08:19
BKOP0121143,4 days 22:01:23
BKOP0121144,4 days 22:00:07
BKOP0121149,8 days 17:35:28
BKOP0121150,5 days 17:18:59
BKOP0121179,1 days 17:22:31
BKOP0121215,0 days 21:02:33
BKOP0121216,0 days 20:12:54
BKOP0121237,6 days 16:03:06
BKOP0121245,0 days 16:40:48
BKOP0121262,0 days 02:42:54
BKOP0121264,0 days 03:03:23
BKOP0121275,2 days 17:36:17
BKOP0121285,0 days 03:07:31
BKOP0121305,0 days 18:13:47
BKOP0121326,0 days 00:20:19
BKOP0121327,0 days 01:18:43
BKOP0121328,0 days 01:17:35
BKOP0121336,0 days 00:19:11
BKOP0121339,0 days 08:01:12
BKOP0121353,0 days 00:58:10
BKOP0121363,0 days 02:02:42
BKOP0121364,0 days 00:15:01
BKOP0121385,0 days 00:55:55
BKOP0121393,0 days 19:40:29
BKOP0121394,0 days 19:43:28
BKOP0121395,0 days 19:45:04
BKOP0121400,13 days 19:35:36
BKOP0121413,1 days 03:04:48
BKOP0121443,3 days 21:17:56
BKOP0121447,0 days 01:20:40
BKOP0121457,0 days 17:28:25
BKOP0121460,0 days 16:43:53
BKOP0121468,0 days 02:29:06
BKOP0121479,0 days 02:53:34
BKOP0121498,0 days 01:19:04
BKOP0121502,11 days 20:47:29
BKOP0121511,0 days 00:20:03
BKOP0121524,1 days 23:23:02
BKOP0121534,1 days 21:58:48
BKOP0121541,1 days 20:50:48
BKOP0121561,1 days 16:06:35
BKOP0121569,9 days 01:06:44
BKOP0121570,0 days 01:45:12
BKOP0121573,0 days 01:42:12
BKOP0121575,0 days 00:07:21
BKOP0121588,0 days 01:28:50
BKOP0121596,0 days 02:39:36
BKOP0121608,7 days 20:11:10
BKOP0121609,1 days 18:48:02
BKOP0121612,0 days 18:20:42
BKOP0121618,0 days 17:38:44
BKOP0121622,9 days 16:18:12
BKOP0121623,0 days 14:08:22
BKOP0121636,0 days 00:16:05
BKOP0121639,0 days 00:11:56
BKOP0121643,0 days 00:13:09
BKOP0121645,0 days 03:16:20
BKOP0121650,0 days 00:52:59
BKOP0121652,0 days 01:07:10
BKOP0121654,0 days 00:57:12
BKOP0121666,0 days 00:03:07
BKOP0121668,0 days 23:46:12
BKOP0121679,0 days 03:11:13
BKOP0121685,0 days 00:28:21
BKOP0121687,0 days 03:21:21
BKOP0121691,0 days 00:51:59
BKOP0121705,0 days 17:33:51
BKOP0121725,0 days 21:42:53
BKOP0121755,0 days 00:52:52
BKOP0121798,1 days 01:12:35
BKOP0121824,0 days 17:59:11
BKOP0121838,0 days 16:11:04
BKOP0121846,0 days 05:24:38
BKOP0121847,4 days 21:46:47
BKOP0121849,0 days 00:53:32
BKOP0121851,0 days 00:52:20
BKOP0121852,0 days 00:53:33
BKOP0121860,0 days 02:53:10
BKOP0121872,0 days 01:38:58
BKOP0121873,0 days 01:36:55
BKOP0121874,0 days 00:55:13
BKOP0121878,0 days 00:45:46
BKOP0121879,0 days 00:33:40
BKOP0121897,0 days 19:18:46
BKOP0121903,1 days 00:36:08
BKOP0121910,0 days 17:27:47
BKOP0121912,0 days 21:27:51
BKOP0121913,0 days 21:09:03
BKOP0121914,0 days 16:45:45
BKOP0121915,0 days 16:41:03
BKOP0121917,0 days 16:57:04
BKOP0121918,0 days 17:47:36
BKOP0121919,0 days 17:48:40
BKOP0121920,0 days 15:13:15
BKOP0121924,0 days 16:23:57
BKOP0121926,0 days 16:40:36
BKOP0121927,0 days 19:55:14
BKOP0121937,0 days 04:51:08
BKOP0121952,0 days 03:05:05
BKOP0121953,0 days 03:08:45
BKOP0121961,0 days 03:05:28
BKOP0121965,0 days 02:56:28
BKOP0121968,0 days 02:52:52
BKOP0121969,0 days 02:55:56
BKOP0121971,0 days 02:42:45
BKOP0121973,0 days 02:35:45
BKOP0121975,0 days 00:27:33
BKOP0121976,0 days 00:19:09
BKOP0121978,0 days 00:07:19
BKOP0122020,0 days 04:23:41
BKOP0122021,0 days 04:22:03
BKOP0122023,0 days 03:46:24
BKOP0122025,0 days 22:58:43
BKOP0122042,0 days 19:20:18
BKOP0122043,1 days 16:49:00
BKOP0122046,0 days 20:44:10
BKOP0122049,0 days 02:03:32
BKOP0122053,0 days 00:30:56
BKOP0122062,0 days 19:09:32
BKOP0122067,0 days 14:52:48
BKOP0122081,0 days 00:41:28
BKOP0122083,0 days 00:35:29
BKOP0122084,0 days 00:37:54
BKOP0122085,0 days 00:37:11
BKOP0122087,0 days 00:40:07
BKOP0122088,0 days 00:38:53
BKOP0122089,0 days 00:38:35
BKOP0122090,0 days 00:37:51
BKOP0122091,0 days 00:41:26
BKOP0122100,0 days 00:36:26
BKOP0122109,0 days 21:37:49
BKOP0122113,0 days 00:32:24
BKOP0122115,1 days 00:35:25
BKOP0122120,1 days 00:44:20
BKOP0122137,0 days 00:33:39
BKOP0122141,0 days 17:55:07
BKOP0122169,0 days 15:45:18
BKOP0122180,0 days 00:26:45
BKOP0122184,1 days 00:28:29
BKOP0122189,0 days 02:28:47
BKOP0122214,0 days 18:07:18
BKOP0122215,0 days 18:06:43
BKOP0122224,0 days 17:14:54
BKOP0122235,0 days 04:57:50
BKOP0122260,0 days 00:35:34
