system,year,tickets
BPL,2013,518
BPL,2014,760
BPL,2015,1317
BPL,2016,1088
BPL,2017,907
BPL,2018,611
BPL,2019,616
BPL,2020,305
BPL,2021,601
BPL,2022,815
BPL,2023,515
