subcategory,count
Other,115
Call number question,38
Item attached to wrong bib record,19
Barcode sticker request (Research centers only),18
Item record problem,16
Duplicate records,14
Sierra bib record error,13
"Electronic resource (Overdrive, Cloud Library, Naxos, etc.)",11
Research call no. label request (NYPL only),3
Volume record needed,2
OCLC Holdings,1
Location code error,1
